Symbol,Strategy Name,Name of security,Status,Action,Quantity|Face Value,Price,Timing,Fill Price,Fill Price is Average,Time and Date(ET),Last Activity Date(ET),Reinvest Capital Gains,Order Number
PLTR,,PALANTIR TECHNOLOGIE A,Filled,Sell,1 Shares,Stop market $92.23,GTC,$92.23,No,12:39 PM 03/24/2025,11:56 AM 03/26/2025,,1002994589108
TTWO,,TAKE-TWO INTERACTIVE,Filled,Sell,1 Shares,Stop market $215.57,GTC,$215.45,No,10:40 AM 03/26/2025,11:10 AM 03/26/2025,,1003007943592
SQQQ,,PROSHARES ULTRAPRO SHORT QQQ ETF,Filled,Buy,10 Shares,Limit $33.92,Day,$33.89,No,10:53 AM 03/26/2025,10:53 AM 03/26/2025,,1003008614399
TTWO,,TAKE-TWO INTERACTIVE,Filled,Sell,1 Shares,Stop market $216.73,GTC,$216.69,No,9:59 AM 03/26/2025,10:18 AM 03/26/2025,,1003007178412
DASH,,DOORDASH INC A,Filled,Sell,1 Shares,Stop market $193.61,GTC,$193.52,No,3:11 PM 03/25/2025,9:57 AM 03/26/2025,,1003004372903
PANW,,PALO ALTO NETWORKS I,Filled,Sell,3 Shares,Stop market $188.49,GTC,$188.59,No,3:38 PM 03/25/2025,9:49 AM 03/26/2025,,1003004862214
Order 1 Triggers All,,,
CRWD,,CROWDSTRIKE HLDGS IN A,Filled,Buy,10 Shares,Limit $384.92,Day,$384.92,No,1:43 PM 03/25/2025,1:44 PM 03/25/2025,,1003003280980
CRWD,,CROWDSTRIKE HLDGS IN A,Filled,Sell,10 Shares,Stop market $383.70,GTC,$382.3501,No,1:43 PM 03/25/2025,9:30 AM 03/26/2025,,1003003280981
BJ,,BJS WHSL CLUB HLDGS,Filled,Sell,3 Shares,Stop market $109.39,GTC,$109.35,No,12:12 PM 03/25/2025,3:35 PM 03/25/2025,,1003002430058
ALHC,,ALIGNMENT HEALTHCARE,Filled,Sell,10 Shares,Stop market $17.35,GTC,$17.34,No,3:23 PM 03/25/2025,3:28 PM 03/25/2025,,1003004373705
PANW,,PALO ALTO NETWORKS I,Filled,Buy,3 Shares,Limit $190.04,Day,$190.04,No,3:06 PM 03/25/2025,3:06 PM 03/25/2025,,1003004372739
OKTA,,OKTA INC A,Filled,Sell,7 Shares,Stop market $115.80,GTC,$115.80,No,12:51 PM 03/25/2025,2:31 PM 03/25/2025,,1003002431306
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Sell,100 Shares,Stop market $175.18,GTC,$175.135,No,12:45 PM 03/25/2025,2:06 PM 03/25/2025,,1003002431157
SPOT,,SPOTIFY TECHNOLOGY S,Filled,Sell,1 Shares,Stop market $615.25,GTC,$615.18,No,12:52 PM 03/25/2025,1:29 PM 03/25/2025,,1003002431348
RBRK,,RUBRIK INC A,Filled,Sell,10 Shares,Stop market $74.23,GTC,$74.20,No,12:06 PM 03/25/2025,12:59 PM 03/25/2025,,1003001509942
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Buy,100 Shares,Limit $175.37,Day,$175.37,No,12:43 PM 03/25/2025,12:44 PM 03/25/2025,,1003002431108
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Sell,10 Shares,Stop market $175.31,GTC,$175.30,No,10:03 AM 03/25/2025,11:56 AM 03/25/2025,,1002999876342
SPOT,,SPOTIFY TECHNOLOGY S,Filled,Buy,1 Shares,Limit $615.24,Day,$615.24,No,11:02 AM 03/25/2025,11:35 AM 03/25/2025,,1003000637729
RBRK,,RUBRIK INC A,Filled,Buy,10 Shares,Limit $75.05,Day,$75.05,No,11:00 AM 03/25/2025,11:11 AM 03/25/2025,,1003000637635
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Sell,30 Shares,Stop market $175.40,GTC,$175.39,No,12:29 PM 03/24/2025,12:40 PM 03/24/2025,,1002994588750
BJ,,BJS WHSL CLUB HLDGS,Filled,Buy,3 Shares,Limit $110.36,Day,$110.36,No,11:53 AM 03/24/2025,12:26 PM 03/24/2025,,1002993465708
DASH,,DOORDASH INC A,Filled,Sell,1 Shares,Stop market $197.38,GTC,$197.31,No,11:47 AM 03/24/2025,12:26 PM 03/24/2025,,1002993465538
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Sell,10 Shares,Stop market $175.65,GTC,$175.64,No,12:19 PM 03/24/2025,12:25 PM 03/24/2025,,1002994588473
OKTA,,OKTA INC A,Filled,Buy,7 Shares,Limit $116.81,Day,$116.81,No,12:08 PM 03/24/2025,12:11 PM 03/24/2025,,1002994588137
SPOT,,SPOTIFY TECHNOLOGY S,Filled,Sell,1 Shares,Stop market $599.78,GTC,$599.08,No,10:08 AM 03/24/2025,11:19 AM 03/24/2025,,1002991623111
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Buy,50 Shares,Limit $175.39,Day,$175.39,No,10:51 AM 03/24/2025,10:51 AM 03/24/2025,,1002992459525
SPOT,,SPOTIFY TECHNOLOGY S,Filled,Buy,1 Shares,Limit $599.77,Day,$599.77,No,12:39 PM 03/21/2025,12:39 PM 03/21/2025,,1002986686252
TTWO,,TAKE-TWO INTERACTIVE,Filled,Buy,3 Shares,Limit $207.70,Day,$207.70,No,9:45 AM 03/21/2025,9:45 AM 03/21/2025,,1002982405783
HOOD,,ROBINHOOD MKTS INC A,Filled,Sell,10 Shares,Stop market $41.83,GTC,$41.81,No,12:18 PM 03/20/2025,9:32 AM 03/21/2025,,1002978622110
TTWO,,TAKE-TWO INTERACTIVE,Filled,Sell,2 Shares,Stop market $205.80,GTC,$205.50,No,9:54 AM 03/20/2025,9:32 AM 03/21/2025,,1002975175292
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Sell,30 Shares,Stop market $173.34,GTC,$173.251,No,9:56 AM 03/20/2025,9:30 AM 03/21/2025,,1002975175439
UBER,,UBER TECHNOLOGIES IN,Filled,Sell,10 Shares,Stop market $73.86,GTC,$73.51,No,3:25 PM 03/20/2025,9:30 AM 03/21/2025,,1002980862564
UBER,,UBER TECHNOLOGIES IN,Filled,Buy,10 Shares,Limit $74.38,Day,$74.38,No,3:24 PM 03/20/2025,3:25 PM 03/20/2025,,1002980862519
KMI,,KINDER MORGAN INC DE,Filled,Buy,8 Shares,Limit $28.00,Day,$28.00,No,2:51 PM 03/20/2025,2:51 PM 03/20/2025,,1002980225246
COST,,COSTCO WHSL CORP NEW,Filled,Sell,1 Shares,Stop market $895.90,GTC,$895.50,No,3:46 PM 03/19/2025,1:27 PM 03/20/2025,,1002973408789
HOOD,,ROBINHOOD MKTS INC A,Filled,Buy,10 Shares,Limit $43.50,Day,$43.50,No,11:20 AM 03/20/2025,11:21 AM 03/20/2025,,1002976869939
WMT,,WALMART INC,Filled,Sell,4 Shares,Limit $86.16,Day,$86.16,No,9:54 AM 03/20/2025,9:54 AM 03/20/2025,,1002975175352
COST,,COSTCO WHSL CORP NEW,Filled,Buy,1 Shares,Limit $907.06,Day,$907.06,No,3:45 PM 03/19/2025,3:45 PM 03/19/2025,,1002973408753
COST,,COSTCO WHSL CORP NEW,Filled,Sell,1 Shares,Stop market $896.74,GTC,$896.50,No,10:37 AM 03/18/2025,11:18 AM 03/19/2025,,1002961257521
IONQ,,IONQ INC,Filled,Sell,5 Shares,Stop market $22.69,GTC,$22.69,No,11:33 AM 03/18/2025,3:56 PM 03/18/2025,,1002962556799
DASH,,DOORDASH INC A,Filled,Buy,2 Shares,Limit $185.69,Day,$185.69,No,12:35 PM 03/18/2025,12:35 PM 03/18/2025,,1002963247090
IONQ,,IONQ INC,Filled,Buy,5 Shares,Limit $24.02,Day,$24.02,No,11:30 AM 03/18/2025,11:31 AM 03/18/2025,,1002962556711
TTWO,,TAKE-TWO INTERACTIVE,Filled,Buy,2 Shares,Limit $205.79,Day,$205.79,No,11:28 AM 03/18/2025,11:29 AM 03/18/2025,,1002962556600
PLTR,,PALANTIR TECHNOLOGIE A,Filled,Buy,4 Shares,Limit $83.94,Day,$83.92,No,11:23 AM 03/18/2025,11:23 AM 03/18/2025,,1002962556432
SFM,,SPROUTS FMRS MKT INC,Filled,Sell,2 Shares,Stop market $135.28,GTC,$135.28,No,5:39 PM 03/17/2025,11:06 AM 03/18/2025,,1002958820746
COST,,COSTCO WHSL CORP NEW,Filled,Buy,1 Shares,Limit $904.17,Day,$904.17,No,10:36 AM 03/18/2025,10:36 AM 03/18/2025,,1002961257446
DASH,,DOORDASH INC A,Filled,Sell,2 Shares,Stop market $182.88,GTC,$182.94,No,5:20 PM 03/17/2025,10:32 AM 03/18/2025,,1002958820701
ALHC,,ALIGNMENT HEALTHCARE,Filled,Buy,10 Shares,Limit $16.60,Day,$16.60,No,10:10 AM 03/18/2025,10:10 AM 03/18/2025,,1002960477970
COST,,COSTCO WHSL CORP NEW,Filled,Sell,1 Shares,Stop market $903.93,GTC,$903.70,No,9:35 AM 03/18/2025,9:52 AM 03/18/2025,,1002959586989
PLTR,,PALANTIR TECHNOLOGIE A,Filled,Sell,4 Shares,Stop market $84.40,GTC,$84.405,No,5:37 PM 03/17/2025,9:35 AM 03/18/2025,,1002958820744
WMT,,WALMART INC,Filled,Buy,4 Shares,Limit $87.80,Day,$87.80,No,3:18 PM 03/17/2025,3:18 PM 03/17/2025,,1002957874786
SFM,,SPROUTS FMRS MKT INC,Filled,Buy,2 Shares,Limit $141.85,Day,$141.85,No,2:54 PM 03/17/2025,2:57 PM 03/17/2025,,1002957874115
PLTR,,PALANTIR TECHNOLOGIE A,Filled,Buy,4 Shares,Limit $87.85,Day,$87.85,No,2:51 PM 03/17/2025,2:51 PM 03/17/2025,,1002956913986
DASH,,DOORDASH INC A,Filled,Buy,2 Shares,Limit $190.27,Day,$190.27,No,2:49 PM 03/17/2025,2:49 PM 03/17/2025,,1002956913930
EA,,ELECTRONIC ARTS INC,Filled,Buy,2 Shares,Limit $142.62,Day,$142.62,No,2:49 PM 03/17/2025,2:49 PM 03/17/2025,,1002956913910
DASH,,DOORDASH INC A,Filled,Sell,15 Shares,Stop market $183.68,GTC,$183.63,No,12:40 PM 03/14/2025,3:26 PM 03/14/2025,,1002947105505
COST,,COSTCO WHSL CORP NEW,Filled,Buy,1 Shares,Limit $903.92,Day,$903.92,No,12:51 PM 03/14/2025,1:45 PM 03/14/2025,,1002947105884
DASH,,DOORDASH INC A,Filled,Buy,15 Shares,Limit $184.61,Day,$184.61,No,12:39 PM 03/14/2025,12:39 PM 03/14/2025,,1002947105467
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,10 Shares,Stop market $58.31,GTC,$58.31,No,3:01 PM 03/13/2025,3:08 PM 03/13/2025,,1002941352350
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Buy,10 Shares,Limit $58.90,Day,$58.90,No,3:00 PM 03/13/2025,3:00 PM 03/13/2025,,1002941352327
DASH,,DOORDASH INC A,Filled,Sell,2 Shares,Stop market $179.71,GTC,$179.67,No,10:28 AM 03/13/2025,12:47 PM 03/13/2025,,1002936463856
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,10 Shares,Stop market $59.12,GTC,$59.12,No,11:02 AM 03/13/2025,11:08 AM 03/13/2025,,1002937289575
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Buy,10 Shares,Limit $59.81,Day,$59.795,No,11:01 AM 03/13/2025,11:01 AM 03/13/2025,,1002937289522
TOST,,TOAST INC A,Filled,Sell,10 Shares,Stop market $33.48,GTC,$33.471,No,3:43 PM 03/12/2025,9:45 AM 03/13/2025,,1002933870396
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,10 Shares,Stop market $60.16,GTC,$60.16,No,1:38 PM 03/12/2025,9:36 AM 03/13/2025,,1002932081173
TOST,,TOAST INC A,Filled,Buy,10 Shares,Limit $34.37,Day,$34.37,No,3:42 PM 03/12/2025,3:42 PM 03/12/2025,,1002933870373
DASH,,DOORDASH INC A,Filled,Buy,2 Shares,Limit $186.87,Day,$186.87,No,3:37 PM 03/12/2025,3:40 PM 03/12/2025,,1002933870137
RSP,,INVESCO S&P 500  EQUAL WEIGHT ETF,Filled,Buy,30 Shares,Limit $171.54,Day,$171.54,No,3:29 PM 03/12/2025,3:32 PM 03/12/2025,,1002933243708
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Buy,10 Shares,Limit $62.05,Day,$62.0454,No,1:31 PM 03/12/2025,1:31 PM 03/12/2025,,1002932080796
AEM,,AGNICO EAGLE MINES L,Filled,Sell,5 Shares,Stop market $100.04,GTC,$100.05,No,10:11 AM 03/11/2025,10:32 AM 03/11/2025,,1002919511634
VRTX,,VERTEX PHARMACEUTICA,Filled,Sell,1 Shares,Stop market $489.71,GTC,$487.27,No,11:36 AM 03/10/2025,9:33 AM 03/11/2025,,1002912758551
AEM,,AGNICO EAGLE MINES L,Filled,Buy,5 Shares,Limit $97.14,Day,$97.14,No,3:52 PM 03/10/2025,3:52 PM 03/10/2025,,1002917190595
AEM,,AGNICO EAGLE MINES L,Filled,Sell,5 Shares,Stop market $96.71,GTC,$96.69,No,3:16 PM 03/07/2025,1:36 PM 03/10/2025,,1002906700963
VRTX,,VERTEX PHARMACEUTICA,Filled,Buy,1 Shares,Limit $489.70,Day,$489.70,No,3:18 PM 03/07/2025,3:22 PM 03/07/2025,,1002906701030
AEM,,AGNICO EAGLE MINES L,Filled,Buy,5 Shares,Limit $98.87,Day,$98.87,No,3:12 PM 03/07/2025,3:15 PM 03/07/2025,,1002906700770
CHKP,,CHECK POINT SOFTWARE,Filled,Sell,2 Shares,Stop market $224.03,GTC,$223.80,No,10:02 AM 03/07/2025,10:41 AM 03/07/2025,,1002900600816
WBD,,WARNER BROS DISCOVER,Filled,Sell,10 Shares,Stop market $10.77,GTC,$10.77,No,3:00 PM 03/04/2025,1:30 PM 03/06/2025,,1002879651733
CHKP,,CHECK POINT SOFTWARE,Filled,Buy,2 Shares,Limit $224.02,Day,$224.02,No,10:21 AM 03/06/2025,10:21 AM 03/06/2025,,1002892468352
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,10 Shares,Stop market $71.28,GTC,$68.24,No,3:57 PM 03/05/2025,9:30 AM 03/06/2025,,1002889370764
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,10 Shares,Stop market $83.89,GTC,$81.3004,No,3:58 PM 03/05/2025,9:30 AM 03/06/2025,,1002889370779
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Buy,10 Shares,Limit $84.97,Day,$84.925,No,3:56 PM 03/05/2025,3:56 PM 03/05/2025,,1002889370677
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Buy,10 Shares,Limit $72.19,Day,$72.19,No,3:55 PM 03/05/2025,3:55 PM 03/05/2025,,1002889370649
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,10 Shares,Stop market $67.95,GTC,$67.94,No,10:11 AM 03/05/2025,11:12 AM 03/05/2025,,1002883249883
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,10 Shares,Stop market $81.05,GTC,$81.02,No,10:12 AM 03/05/2025,11:11 AM 03/05/2025,,1002883249967
WBD,,WARNER BROS DISCOVER,Filled,Buy,10 Shares,Limit $11.34,Day,$11.34,No,2:58 PM 03/04/2025,2:58 PM 03/04/2025,,1002879651663
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Buy,10 Shares,Limit $83.13,Day,$83.13,No,1:48 PM 03/04/2025,1:49 PM 03/04/2025,,1002878791249
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Buy,10 Shares,Limit $69.94,Day,$69.94,No,1:48 PM 03/04/2025,1:48 PM 03/04/2025,,1002878791238
DASH,,DOORDASH INC A,Filled,Sell,3 Shares,Stop market $198.08,GTC,$198.00,No,3:05 PM 03/03/2025,3:12 PM 03/03/2025,,1002870548572
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,20 Shares,Stop market $86.66,GTC,$86.63,No,10:14 AM 03/03/2025,2:52 PM 03/03/2025,,1002865131435
WBD,,WARNER BROS DISCOVER,Filled,Sell,30 Shares,Stop market $11.24,GTC,$11.24,No,2:14 PM 02/28/2025,2:51 PM 03/03/2025,,1002860027757
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,20 Shares,Stop market $72.05,GTC,$72.04,No,10:13 AM 03/03/2025,1:38 PM 03/03/2025,,1002865131396
HESM,,HESS MIDSTREAM LP A,Filled,Sell,15 Shares,Stop market $41.83,GTC,$41.79,No,1:01 PM 03/03/2025,1:12 PM 03/03/2025,,1002868740129
Order 1 Triggers All,,,
WMB,,WILLIAMS COS INC,Filled,Buy,15 Shares,Limit $57.68,Day,$57.68,No,2:27 PM 02/28/2025,2:27 PM 02/28/2025,,1002860840203
WMB,,WILLIAMS COS INC,Canceled,Sell,15 Shares,Stop market $57.69,GTC,-,No,10:57 AM 03/03/2025,1:03 PM 03/03/2025,,1002866021650
WMB,,WILLIAMS COS INC,Filled,Sell,15 Shares,Stop market $57.86,GTC,$57.85,No,1:03 PM 03/03/2025,1:12 PM 03/03/2025,,1002868740208
WMB,,WILLIAMS COS INC,Canceled,Sell,15 Shares,Stop market $55.69,GTC,-,No,2:27 PM 02/28/2025,10:57 AM 03/03/2025,,1002860840204
TMUS,,T-MOBILE US INC,Filled,Sell,4 Shares,Stop market $274.45,GTC,$274.31,No,1:02 PM 03/03/2025,1:10 PM 03/03/2025,,1002868740176
BROS,,DUTCH BROS INC A,Filled,Sell,3 Shares,Stop market $79.44,GTC,$79.25,No,10:53 AM 03/03/2025,11:25 AM 03/03/2025,,1002866021539
HOOD,,ROBINHOOD MKTS INC A,Filled,Sell,3 Shares,Stop market $50.15,GTC,$50.14,No,10:23 AM 03/03/2025,10:37 AM 03/03/2025,,1002866020029
TMUS,,T-MOBILE US INC,Filled,Buy,4 Shares,Limit $274.44,Day,$274.44,No,10:20 AM 03/03/2025,10:22 AM 03/03/2025,,1002865131823
TMDX,,TRANSMEDICS GROUP IN,Filled,Sell,3 Shares,Limit $75.58,Day,$75.58,No,2:50 PM 02/28/2025,3:03 PM 02/28/2025,,1002860840925
DASH,,DOORDASH INC A,Filled,Buy,3 Shares,Limit $197.08,Day,$197.08,No,2:47 PM 02/28/2025,2:47 PM 02/28/2025,,1002860840799
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Buy,20 Shares,Limit $86.65,Day,$86.65,No,2:37 PM 02/28/2025,2:38 PM 02/28/2025,,1002860840504
HESM,,HESS MIDSTREAM LP A,Filled,Buy,15 Shares,Limit $41.44,Day,$41.44,No,2:28 PM 02/28/2025,2:29 PM 02/28/2025,,1002860840227
WBD,,WARNER BROS DISCOVER,Filled,Buy,30 Shares,Limit $11.46,Day,$11.46,No,11:43 AM 02/28/2025,12:50 PM 02/28/2025,,1002858466273
HOOD,,ROBINHOOD MKTS INC A,Filled,Buy,3 Shares,Limit $50.14,Day,$50.14,No,12:09 PM 02/28/2025,12:46 PM 02/28/2025,,1002858467222
BROS,,DUTCH BROS INC A,Filled,Buy,3 Shares,Limit $78.30,Day,$78.30,No,12:15 PM 02/28/2025,12:16 PM 02/28/2025,,1002858467415
TMDX,,TRANSMEDICS GROUP IN,Filled,Buy,3 Shares,Limit $75.72,Day,$75.72,No,11:47 AM 02/28/2025,12:00 PM 02/28/2025,,1002858466449
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Buy,20 Shares,Limit $72.04,Day,$72.04,No,10:18 AM 02/28/2025,10:19 AM 02/28/2025,,1002856259044
CMG,,CHIPOTLE MEXICAN GRI,Filled,Sell,5 Shares,Stop market $52.48,GTC,$52.50,No,12:08 PM 02/26/2025,9:31 AM 02/28/2025,,1002840739056
HOOD,,ROBINHOOD MKTS INC A,Filled,Sell,5 Shares,Stop market $50.81,GTC,$50.81,No,1:37 PM 02/27/2025,2:17 PM 02/27/2025,,1002851022166
BROS,,DUTCH BROS INC A,Filled,Sell,10 Shares,Stop market $77.87,GTC,$77.85,No,1:57 PM 02/27/2025,2:12 PM 02/27/2025,,1002851022525
DASH,,DOORDASH INC A,Filled,Sell,10 Shares,Stop market $200.77,GTC,$200.73,No,1:58 PM 02/27/2025,2:10 PM 02/27/2025,,1002851022534
BROS,,DUTCH BROS INC A,Filled,Buy,10 Shares,Limit $77.86,Day,$77.86,No,1:32 PM 02/27/2025,1:33 PM 02/27/2025,,1002851022044
DASH,,DOORDASH INC A,Filled,Buy,10 Shares,Limit $201.04,Day,$201.04,No,1:31 PM 02/27/2025,1:33 PM 02/27/2025,,1002851022037
HOOD,,ROBINHOOD MKTS INC A,Filled,Buy,5 Shares,Limit $51.46,Day,$51.46,No,1:33 PM 02/27/2025,1:33 PM 02/27/2025,,1002851022061
BROS,,DUTCH BROS INC A,Filled,Sell,3 Shares,Stop market $77.78,GTC,$77.75,No,11:55 AM 02/27/2025,12:16 PM 02/27/2025,,1002849279151
BROS,,DUTCH BROS INC A,Filled,Buy,3 Shares,Limit $78.34,Day,$78.34,No,11:07 AM 02/27/2025,11:52 AM 02/27/2025,,1002848427192
HOOD,,ROBINHOOD MKTS INC A,Filled,Sell,5 Shares,Stop market $51.36,GTC,$51.37,No,11:33 AM 02/27/2025,11:52 AM 02/27/2025,,1002849278292
HOOD,,ROBINHOOD MKTS INC A,Filled,Buy,5 Shares,Limit $51.35,Day,$51.35,No,10:59 AM 02/27/2025,11:00 AM 02/27/2025,,1002848426861
AEM,,AGNICO EAGLE MINES L,Filled,Sell,5 Shares,Stop market $96.61,GTC,$96.60,No,10:48 AM 02/26/2025,9:50 AM 02/27/2025,,1002839129530
CMG,,CHIPOTLE MEXICAN GRI,Filled,Buy,5 Shares,Limit $54.53,Day,$54.51,No,12:07 PM 02/26/2025,12:07 PM 02/26/2025,,1002840739029
TMUS,,T-MOBILE US INC,Filled,Sell,10 Shares,Stop market $267.47,GTC,$265.77,No,3:59 PM 02/25/2025,9:30 AM 02/26/2025,,1002835705349
TMUS,,T-MOBILE US INC,Filled,Buy,5 Shares,Limit $270.60,Day,$270.60,No,3:58 PM 02/25/2025,3:59 PM 02/25/2025,,1002835705311
AEM,,AGNICO EAGLE MINES L,Filled,Buy,5 Shares,Limit $96.60,Day,$96.60,No,3:38 PM 02/25/2025,3:38 PM 02/25/2025,,1002835009942
IDXX,,IDEXX LABS INC,Filled,Sell,1 Shares,Stop market $452.09,GTC,$452.455,No,3:09 PM 02/24/2025,12:14 PM 02/25/2025,,1002825907051
DXCM,,DEXCOM INC,Filled,Sell,4 Shares,Stop market $88.35,GTC,$88.26,No,3:27 PM 02/24/2025,11:33 AM 02/25/2025,,1002825907683
NTRS,,NORTHERN TR CORP,Filled,Sell,5 Shares,Stop market $111.97,GTC,$111.73,No,1:32 PM 02/24/2025,9:53 AM 02/25/2025,,1002824673533
DXCM,,DEXCOM INC,Filled,Buy,4 Shares,Limit $90.79,Day,$90.79,No,3:10 PM 02/24/2025,3:10 PM 02/24/2025,,1002825907169
IDXX,,IDEXX LABS INC,Filled,Buy,1 Shares,Limit $463.89,Day,$463.89,No,3:08 PM 02/24/2025,3:08 PM 02/24/2025,,1002825906986
LABU,,DIREXION SHARES DAILY S&P BIOTECH BULL 3X SHS,Filled,Sell,3 Shares,Stop market $88.56,GTC,$88.50,No,2:27 PM 02/20/2025,9:52 AM 02/24/2025,,1002806339823
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,20 Shares,Stop market $93.81,GTC,$93.80,No,9:33 AM 02/24/2025,9:35 AM 02/24/2025,,1002819347611
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,25 Shares,Stop market $84.52,GTC,$84.5103,No,9:32 AM 02/24/2025,9:33 AM 02/24/2025,,1002819347500
OXY,,OCCIDENTAL PETE CORP,Filled,Sell,15 Shares,Stop market $50.29,GTC,$50.1115,No,9:04 AM 02/24/2025,9:30 AM 02/24/2025,,1002819346792
FTNT,,FORTINET INC,Filled,Sell,10 Shares,Stop market $110.73,GTC,$110.73,No,12:11 PM 02/20/2025,2:24 PM 02/21/2025,,1002804862987
CHKP,,CHECK POINT SOFTWARE,Filled,Sell,4 Shares,Stop market $215.68,GTC,$215.49,No,11:11 AM 02/12/2025,1:41 PM 02/21/2025,,1002759273480
PBPB,,POTBELLY CORP,Filled,Sell,20 Shares,Stop market $12.18,GTC,$12.15,No,11:31 AM 02/18/2025,1:09 PM 02/21/2025,,1002786515926
FI,,FISERV INC,Filled,Sell,3 Shares,Stop market $232.12,GTC,$232.02,No,10:48 AM 02/21/2025,1:06 PM 02/21/2025,,1002811996994
